varCode,varLabel,nutrient,unit
hhid,Household ID,,id
land_size,Size of operated land (ha),,ha
land_size_pc,Size of operated land per capita (ha),,ha
cid,Community ID,,categorical
a4,Village,,categorical
hh_weight,Raw household weight,,weight
a1,District,,categorical
a2,EPA,,categorical
a3,Section,,categorical
b6,Highest grade completed,,categorical
b7,Can read and write?,,categorical
b8,Primary activity,,categorical
b10,Marital status,,categorical
hhsize,Household size,,no. of persons
hh_married,Head==married/cohabiting,,categorical
hh_widow,Head==widow/er,,categorical
hh_single,Head==single,,categorical
hh_female,Head==female,,categorical
hh_femsin,Head==single female,,categorical
hh_malesin,Head==single male,,categorical
numadult,# of adults (age>=15),,no. of persons
numchildren,# of children (age<15),,no. of persons
numwomen,# of women (age>=15),,no. of persons
depend_ratio,Dependency ratio,,ratio
hh_age,Age of household head,,years
age_ave,Avg. adult yrs of age,,years
edu,indiv highest level of education,,categorical
educ_ave,Avg. adult yrs of education,,years
educ_max,Max adult yrs of education,,years
hh_edu,Education of hh head,,categorical
hh_male_edu,Education of male head,,categorical
hh_fem_edu,Education of female head,,categorical
outsidefood,"Value of food consumed outside the hh, MWK",,MWK
outside_eat,Someone in the hh consumed food outside the hh,,categorical
outside_eat_m,Men (at least 15 years old) in the hh consumed food outside the hh,,categorical
outsidefood_m,"Value of food consumed outside the hh by men (at least 15 years old), MWK",,MWK
outside_eat_f,Women (at least 15 years old) in the hh consumed food outside the hh,,categorical
outsidefood_f,"Value of food consumed outside the hh by women (at least 15 years old), MWK",,MWK
outside_eat_c,Children (under 15 years old) in the hh consumed food outside the hh,,categorical
outsidefood_c,"Value of food consumed outside the hh by children (under 15 years old), MWK",,MWK
insidefoodyr,Total value of food consumed within the hh over 1 year,,MWK
shannon_exp,Shannon index based on food expenditures,,index
simpson_exp,Simpson index based on food expenditures,,index
sh_cereals_exp,Shr. of cereals in total hh food value,,percentage
sh_roots_exp,Shr. of roots in total hh food value,,percentage
sh_veg_exp,Shr. of vegetables in total hh food value,,percentage
sh_fruits_exp,Shr. of fruits in total hh food value,,percentage
sh_meat_exp,Shr. of meat in total hh food value,,percentage
sh_eggs_exp,Shr. of eggs in total hh food value,,percentage
sh_fish_exp,Shr. of fish in total hh food value,,percentage
sh_pulses_exp,Shr. of pulses in total hh food value,,percentage
sh_milk_exp,Shr. of milk in total hh food value,,percentage
sh_oil_exp,Shr. of oils & fats in total hh food value,,percentage
sh_sugar_exp,Shr. of sugar & honey in total hh food value,,percentage
sh_misc_exp,Shr. of miscellaneous foods in total hh food value,,percentage
foodvalue_totalyr,Total value of hh food consumption (year) in MWK,,MWK
hhexpend,"HH yearly expenditure, MWK",,MWK
wealth,Total wealth index,,index
quint_wealth,Quintile of total wealth index,,index
